Student,Class Level,Gender,Daily Stress (1-10),Stress Causes,Behavioral Effects,Psychological Effects,Cognitive Effects,Social Effects,Stress Relievers,Stress Handling (1-10),Pressing Academic Stressors,Stress Level
18,Graduate,Female,6,"Studies, Finances","Decreased efficiency, Difficulty communicating, Change in eating habits","Anxiety, Worry about safety, Feeling overwhelmed","Difficulty planning ahead, Losing track of time","Difficulty expressing needs, Impatient with others","Talking with a therapist, Budgeting and planning",4,"Study workload, Financial pressure",5.7
19,Sophomore,Male,5,"Studies, Personal growth","Change in activity levels, Difficulty communicating, Change in sleep patterns","Denial, Sadness, Feeling lost","Difficulty remembering names and faces, Difficulty understanding complex concepts","Difficulty starting conversations, Avoiding eye contact","Reading, Spending time in nature",6,"Finding purpose in life, Grades",5.1
20,Junior,Female,3,"Hobbies, Social life","Increased activity levels, Talkative, Difficulty relaxing","Denial, Feeling overconfident, Apathy","Difficulty remembering details, Difficulty focusing on one task","Easily distracted, Tendency to overshare","Watching movies, Going dancing",7,"Balancing academics and hobbies, Social life",3.2
21,Senior,Male,8,"Studies, Work",All listed (except None of the Above),All listed (except None of the Above),All listed (except None of the Above),All listed (except None of the Above),All listed (except None of the Above),6,All listed (except None of the Above),8.4
22,Freshman,Female,9,"Studies, Relationships","Irritability, Change in sleep patterns, Hyper-vigilance","Anxiety, Sadness, Guilt","Inability to stop thinking, Loss of objectivity","Difficulty sharing ideas, Intolerance of group process","Computer Games, Listening to music",2,"Relationship with significant other, Grades",7.9
23,Sophomore,Male,5,"Studies, Health","Change in activity levels, Decreased efficiency, Change in eating habits","Denial, Over-identification with survivors, Apathy","Memory problems, Difficulty concentrating","Withdrawing, Difficulty listening","Eating, Talking with someone",7,"Study workload, Health-related issues",5
24,Senior,Female,6,"Friends, Other","Increased humor, Change in activity levels, Accident prone","Anxiety, Restlessness, Feeling misunderstood","Slowness in thinking, Difficulty calculating","Difficulty expressing needs, Difficulty accepting support","Sleeping, Spending time in nature",4,"Relationship with other students, Other",4.8
25,Graduate,Male,8,"Studies, Work",All listed (except None of the Above),All listed (except None of the Above),All listed (except None of the Above),All listed (except None of the Above),All listed (except None of the Above),5,All listed (except None of the Above),8.5
26,Freshman,Other,4,"Family, Campus social life","Decreased efficiency, Change in sleep patterns, Difficulty communicating","Denial, Sadness, Feeling isolated","Memory problems, Difficulty concentrating","Difficulty engaging in problem solving, Intolerance of group process","Spending time with family, Talking with someone",6,"Relationship with other students, Grades",4.5
27,Sophomore,Female,7,"Studies, Personal growth","Change in activity levels, Irritability, Periods of crying","Anxiety, Restlessness, Feeling overwhelmed","Inability to stop thinking, Loss of objectivity","Difficulty listening, Difficulty sharing ideas","Yoga, Meditation",3,"Study workload, Finding purpose in life",6.7
28,Senior,Other,5,"Sports, Other","Increased humor, Change in activity levels, Change in eating habits","Denial, Sadness, Over-identification with survivors","Memory problems, Difficulty concentrating","Withdrawing, Avoidance of triggers","Sports, Eating",8,"Balancing academics and sports, Other",5.3
29,Graduate,Female,7,"Studies, Work","Decreased efficiency, Difficulty communicating, Change in sleep patterns","Anxiety, Worry about safety, Feeling hopeless","Slowness in thinking, Difficulty calculating","Withdrawing, Difficulty giving support","Talking with someone, Spending time with family",5,"Study workload, Work-Life balance",5.8
30,Freshman,Male,3,"Studies, Sports","Change in activity levels, Inability to relax, Change in eating habits","Denial, Sadness, Apathy","Memory problems, Difficulty concentrating","Withdrawing, Difficulty listening","Listening to music, Spending time outdoors",4,"Study workload, Balancing academics and sports",3.7
31,Sophomore,Female,6,"Studies, Other","Increased humor, Difficulty communicating, Accident prone","Anxiety, Restlessness, Feeling misunderstood","Slowness in thinking, Inability to stop thinking","Difficulty expressing needs, Impatient","Eating, Watching movies",2,"Grades, Other",5.1
32,Freshman,Female,7,"Studies, Family","Change in activity levels, Irritability, Change in sleep patterns","Anxiety, Restlessness, Feeling overwhelmed","Difficulty concentrating, Loss of objectivity","Withdrawing, Difficulty sharing ideas","Talking with someone, Spending time with family",5,"Grades, Relationship with family",6
33,Sophomore,Male,3,"Sports, Other","Increased activity levels, Decreased efficiency","Denial, Apathy, Feeling disconnected","Difficulty remembering dates and deadlines, Difficulty organizing thoughts","Difficulty asking for help, Avoiding social gatherings","Playing video games, Watching sports",2,"Balancing academics and sports, Other",3.4
34,Junior,Other,5,"Studies, Work","Decreased efficiency, Difficulty communicating, Change in eating habits","Anxiety, Worry about safety, Feeling isolated","Difficulty planning ahead, Losing track of time","Difficulty expressing needs, Impatient with others","Talking with a therapist, Budgeting and planning",4,"Study workload, Financial pressure",5.2
35,Graduate,Male,6,"Studies, Relationships","Increased humor, Change in activity levels, Accident prone","Anxiety, Restlessness, Feeling misunderstood","Slowness in thinking, Difficulty making decisions","Difficulty initiating conversations, Avoiding social situations","Talking with a trusted friend, Reading",6,"Grades, Relationship with significant other",5.6
36,Sophomore,Male,4,"Studies, Personal growth","Decreased efficiency, Change in sleep patterns, Difficulty communicating","Denial, Sadness, Apathy","Difficulty organizing thoughts, Difficulty prioritizing tasks","Difficulty asking for help, Avoiding social gatherings","Listening to music, Playing video games",3,"Study workload, Finding purpose in life",4.1
37,Junior,Female,7,"Studies, Family","Increased humor, Change in activity levels, Accident prone","Anxiety, Restlessness, Feeling guilty","Difficulty focusing on details, Difficulty making decisions","Withdrawing, Difficulty listening","Spending time with family, Watching comedies",5,"Grades, Relationship with family",6.8
38,Senior,Male,3,"Sports, Social life","Increased activity levels, Talkative, Difficulty making decisions","Denial, Feeling optimistic, Apathy","Difficulty remembering names and faces, Difficulty following instructions","Difficulty saying no, Easily swayed by others","Sports, Spending time with friends",7,"Balancing academics and social life, Sports performance",3.3
39,Graduate,Female,6,"Studies, Finances","Decreased efficiency, Difficulty communicating, Change in eating habits","Anxiety, Worry about safety, Feeling overwhelmed","Difficulty planning ahead, Losing track of time","Difficulty expressing needs, Impatient with others","Talking with a therapist, Budgeting and planning",4,"Study workload, Financial pressure",5.9
40,Sophomore,Male,5,"Studies, Personal growth","Change in activity levels, Difficulty communicating, Change in sleep patterns","Denial, Sadness, Feeling lost","Difficulty remembering names and faces, Difficulty understanding complex concepts","Difficulty starting conversations, Avoiding eye contact","Reading, Spending time in nature",5,"Finding purpose in life, Grades",5.3
41,Junior,Female,3,"Hobbies, Social life","Increased activity levels, Talkative, Difficulty relaxing","Denial, Feeling overconfident, Apathy","Difficulty remembering details, Difficulty focusing on one task","Easily distracted, Tendency to overshare","Watching movies, Going dancing",6,"Balancing academics and hobbies, Social life",3.1
